id	filename	md5	size	state
7a37b44b-ec93-4d72-8acf-7ccb43a65cbf	TCGA-B0-5102-11A-01-TS1.1696e9bc-b42b-49ac-ba83-df21409d1f29.svs	10b031e23f41944c6b4331e42f2a22bd	46697685	validated
7ad4693a-3ba8-4609-9635-56cb581c6b2f	TCGA-B0-4819-01A-01-TS1.758e708e-73f4-43d5-9783-974ba16a766a.svs	d2cde31e8a32d5dbbdf9957420ff275b	56397097	validated
87a2b966-6584-4439-a1e6-581e469910fb	TCGA-B0-4837-11A-01-TS1.178b59a3-f441-4bc9-aeff-7328bad32208.svs	31635330a8b292f189791d6a3a4e71d6	33833171	validated
887c3d63-ff45-4c1f-aeb9-2ce186545de8	TCGA-CZ-4861-11A-01-BS1.4d4e9433-25a2-4429-a8e8-24185be1370d.svs	4f95c6eeb24635249e817332582b624f	32127999	validated
8884efb1-9660-4463-a007-cfca3dbabba7	TCGA-A3-A6NJ-11A-01-TS1.129CB7FA-9224-42F2-9F2C-9FFCA5C7445E.svs	554fbdf031aafea82d15aa67a056dd1a	25538863	validated
890e9d51-272c-4094-9f7d-6c0b90e0116d	TCGA-A3-3336-01A-01-TS1.a5c05841-a537-4b50-a71d-63ce5adf04fe.svs	32e891db07a84e9a6e754e4e44eb3d41	46480943	validated
8ac81c87-8dca-4f75-9e08-aafdb01f96a8	TCGA-AK-3430-01A-01-BS1.1ba811d9-4ede-43f1-bfe2-b11db2e00481.svs	72880f64f31723b020b5e7a73694676d	46249165	validated
8fda7161-495f-4c12-95ee-cd8233d9fbb4	TCGA-AS-3778-01A-01-BS1.838dc562-12f5-4b3d-8dd8-9363e00e9dd9.svs	4fac8adf8b4f9569508d04eccec699b4	34627545	validated
926b8f5b-838f-41de-804b-06ee0bd00e14	TCGA-A3-3373-01A-01-BS1.7a02cdfa-64e3-4a97-a7a7-2ee92a8bdf1c.svs	024ad22d28fa8cbd3cf284136a9c9166	51178023	validated
959e61d6-f78e-4040-90a9-1cbd60f65db6	TCGA-B0-4841-01A-01-TS1.0c375369-3a29-4104-ae17-5769766c60d8.svs	9ec187b68a7e2df016f698675a48dd39	14090705	validated
987daaa5-ef87-446b-a4de-146f65b2742d	TCGA-AS-3777-01A-01-TS1.d1b5b7b7-aac2-44fb-815f-bde490643928.svs	bd979ad85e73e26930aa19c356d820ef	31345259	validated
9a128099-18e3-46a4-a221-b9e068307a12	TCGA-A3-3306-11A-01-TS1.c622542f-4cd2-4dd7-a67c-06094e11bd3f.svs	aa3d95ff6148587045e217539ecc8ef2	41945937	validated
9c7a834b-d129-468c-93da-2d68785a2649	TCGA-B2-A4SR-11A-01-TS1.E93B4BAE-0A46-4A61-8055-908050EE9546.svs	92d375bf07a99349751aa1874ee97d5d	33056535	validated
9ee4e624-d0e5-4cba-835d-4563ad866dfd	TCGA-B8-5162-01A-01-BS1.72486129-2b25-4fe0-ba41-517823134d58.svs	b3f258ee6fa664fda9b4e99abe6ab7c9	51856197	validated
9ee6e190-a0cb-4c2d-a6af-bd7f59f777e7	TCGA-A3-3307-01A-01-TS1.1b385aec-9f0b-4790-a12a-75f74ccc6133.svs	f53d10df26db515c76ee13fe6da84681	53610645	validated
a3841111-83de-4944-bfac-80b0cb066ed7	TCGA-CW-5589-01A-01-TS1.d704b905-075c-4149-b882-0ea19a3b069f.svs	79402665c4cd11f9ed67bd4f0ec17fc5	56550335	validated
a854e797-f7ba-40ee-8f8d-267085286c8e	TCGA-B0-5094-01A-01-TS1.60bfdb27-cbf5-4b5e-9d35-393dbbfa9bb2.svs	fbf051b59e5c3570cc1595815954a2d9	22329875	validated
aa02f898-45d3-4b64-b9c8-a273576f4aaa	TCGA-BP-5001-11A-01-TS1.460a8c71-c591-4d95-af1e-2c2fc1124664.svs	8143b31749063f6077e65216bcfc404a	49299023	validated
aa68ed54-097d-43bc-b987-4a47a086dd3c	TCGA-A3-3352-01A-01-BS1.a9600d95-12d3-481d-b456-3998590c2ef1.svs	7b901b9bde1fc7d4239a8aa73ba3d453	55758013	validated
